,Wohlstand,Krieg,Angst,Energie
2022-10-22,1,28,1,22
2022-10-23,1,23,1,14
2022-10-24,4,26,3,43
2022-10-25,8,22,1,44
2022-10-26,3,34,2,25
2022-10-27,18,49,3,36
2022-10-28,17,36,4,18
2022-10-29,4,32,4,13
2022-10-30,3,12,3,12
2022-10-31,10,12,4,35
2022-11-01,9,13,1,33
2022-11-02,3,16,3,34
2022-11-03,9,23,4,28
2022-11-04,2,10,3,24
2022-11-05,6,13,3,15
2022-11-06,1,24,4,17
2022-11-07,7,25,3,32
2022-11-08,9,29,6,30
2022-11-09,10,25,4,32
2022-11-10,13,16,4,38
2022-11-11,12,18,3,29
2022-11-12,1,6,2,13
2022-11-13,5,9,4,12
2022-11-14,6,9,2,40
2022-11-15,12,20,6,36
2022-11-16,17,9,3,38
2022-11-17,12,27,9,28
2022-11-18,14,17,5,43
2022-11-19,4,17,6,8
2022-11-20,5,11,4,9
2022-11-21,8,10,2,15
2022-11-22,6,21,1,18
2022-11-23,13,40,3,21
2022-11-24,31,16,3,28
2022-11-25,11,41,6,32
2022-11-26,5,8,3,9
2022-11-27,2,12,4,9
2022-11-28,4,10,0,11
2022-11-29,31,17,10,25
2022-11-30,10,12,4,8
2022-12-01,8,13,1,15
2022-12-02,13,29,7,28
2022-12-03,3,21,1,11
2022-12-04,8,22,7,9
2022-12-05,7,34,10,8
2022-12-06,7,11,7,22
2022-12-07,2,29,8,16
2022-12-08,2,14,3,13
2022-12-09,11,14,6,17
2022-12-10,1,9,2,8
2022-12-11,3,17,13,11
2022-12-12,8,9,4,19
2022-12-13,43,57,8,18
2022-12-14,6,27,5,27
2022-12-15,24,11,3,27
2022-12-16,8,11,2,27
2022-12-17,1,11,5,13
2022-12-18,1,17,3,9
2022-12-19,8,35,3,34
2022-12-20,4,14,5,24
2022-12-21,6,16,3,25
2022-12-22,7,8,2,13
2022-12-23,7,28,5,6
2022-12-24,4,33,6,1
2022-12-25,0,5,0,2
2022-12-26,1,10,1,3
2022-12-27,3,30,6,6
2022-12-28,2,16,1,9
2022-12-29,8,29,4,10
2022-12-30,6,22,11,18
2022-12-31,3,33,1,1
2023-01-01,1,11,2,2
2023-01-02,3,11,7,2
2023-01-03,8,3,3,5
2023-01-04,5,11,2,8
2023-01-05,0,21,3,8
2023-01-06,3,25,3,6
2023-01-07,1,12,0,1
2023-01-08,0,31,1,5
2023-01-09,1,15,4,10
2023-01-10,4,38,5,7
2023-01-11,9,21,4,9
2023-01-12,8,21,2,10
2023-01-13,3,22,6,14
2023-01-14,3,10,4,0
2023-01-15,2,7,0,5
2023-01-16,5,36,2,18
2023-01-17,2,39,0,7
2023-01-18,1,66,2,12
2023-01-19,9,26,2,9
2023-01-20,2,90,2,3
2023-01-21,0,18,2,2
2023-01-22,0,11,1,2
2023-01-23,1,31,2,3
2023-01-24,1,42,0,6
2023-01-25,2,25,6,6
2023-01-26,6,25,4,7
2023-01-27,5,31,3,3
2023-01-28,3,31,3,4
2023-01-29,2,37,3,3
2023-01-30,3,13,2,3
2023-01-31,9,52,5,17
2023-02-01,3,53,3,9
2023-02-02,6,37,1,6
2023-02-03,0,7,4,1
2023-02-04,3,44,2,3
2023-02-05,1,41,2,5
2023-02-06,1,14,7,0
2023-02-07,2,9,5,8
2023-02-08,0,42,3,11
2023-02-09,7,22,5,7
2023-02-10,0,39,2,5
2023-02-11,0,19,3,0
2023-02-12,2,5,8,2
2023-02-13,3,24,4,4
2023-02-14,4,27,5,11
2023-02-15,2,41,1,3
2023-02-16,2,46,5,12
2023-02-17,3,53,5,8
2023-02-18,2,38,2,4
2023-02-19,1,42,8,10
2023-02-20,3,28,6,6
2023-02-21,5,42,5,5
2023-02-22,5,38,4,4
2023-02-23,1,24,2,2
2023-02-24,1,59,8,5
2023-02-25,2,40,1,4
2023-02-26,0,25,1,0
2023-02-27,2,10,5,13
2023-02-28,5,10,3,15
2023-03-01,8,34,4,6
2023-03-02,3,67,11,6
2023-03-03,2,26,7,17
2023-03-04,1,45,1,3
2023-03-05,0,10,1,4
2023-03-06,1,36,3,7
2023-03-07,5,21,3,4
2023-03-08,2,10,1,2
2023-03-09,4,24,7,10
2023-03-10,7,18,3,6
2023-03-11,2,10,0,1
2023-03-12,0,18,4,2
2023-03-13,2,56,2,3
2023-03-14,5,13,4,6
2023-03-15,5,13,2,7
2023-03-16,5,27,10,4
2023-03-17,3,48,2,7
2023-03-18,1,39,1,4
2023-03-19,1,9,4,1
2023-03-20,1,39,1,3
2023-03-21,2,70,4,7
2023-03-22,3,12,4,16
2023-03-23,3,15,7,5
2023-03-24,6,8,1,6
2023-03-25,3,15,2,4
2023-03-26,1,32,8,0
2023-03-27,3,35,4,8
2023-03-28,2,38,1,7
2023-03-29,0,13,0,8
2023-03-30,3,61,4,8
2023-03-31,0,44,6,13
2023-04-01,4,11,5,4
2023-04-02,2,11,1,5
2023-04-03,5,17,3,4
2023-04-04,1,43,10,9
2023-04-05,1,27,0,5
2023-04-06,1,19,7,5
2023-04-07,1,45,3,3
2023-04-08,4,10,2,3
2023-04-09,1,25,2,8
2023-04-10,0,12,1,5
2023-04-11,6,47,3,10
2023-04-12,11,14,11,10
2023-04-13,5,19,7,0
2023-04-14,3,19,7,4
2023-04-15,2,12,1,0
2023-04-16,3,36,2,2
2023-04-17,6,24,5,4
2023-04-18,4,34,3,5
2023-04-19,5,6,4,5
2023-04-20,4,17,1,5
2023-04-21,4,29,4,9
2023-04-22,1,32,5,0
2023-04-23,4,26,1,5
2023-04-24,4,27,4,6
2023-04-25,5,21,7,3
2023-04-26,2,15,8,8
2023-04-27,14,21,7,7
2023-04-28,8,22,4,10
2023-04-29,3,5,1,4
2023-04-30,3,13,1,7
2023-05-01,4,53,3,6
2023-05-02,8,13,2,5
2023-05-03,2,12,4,6
2023-05-04,25,15,6,6
2023-05-05,1,51,4,18
2023-05-06,3,5,1,1
2023-05-07,0,10,2,1
2023-05-08,3,27,4,1
2023-05-09,3,43,4,7
2023-05-10,13,23,4,4
2023-05-11,6,8,5,6
2023-05-12,7,44,6,9
2023-05-13,0,10,4,5
2023-05-14,2,32,2,5
2023-05-15,2,38,1,10
2023-05-16,4,41,3,4
2023-05-17,4,16,4,9
2023-05-18,1,49,5,7
2023-05-19,3,26,2,5
2023-05-20,0,9,3,8
2023-05-21,0,18,2,1
2023-05-22,2,15,4,13
2023-05-23,1,24,2,7
2023-05-24,2,10,3,4
2023-05-25,7,9,11,2
2023-05-26,6,12,2,3
2023-05-27,1,45,6,2
2023-05-28,0,7,0,0
2023-05-29,3,24,1,1
2023-05-30,5,31,2,2
2023-05-31,12,17,3,8
2023-06-01,2,50,2,6
2023-06-02,6,41,3,16
2023-06-03,0,3,2,3
2023-06-04,2,3,0,3
2023-06-05,9,33,2,4
2023-06-06,1,21,0,9
2023-06-07,5,10,4,10
2023-06-08,1,15,3,3
2023-06-09,3,35,2,10
2023-06-10,2,36,2,1
2023-06-11,2,20,0,2
2023-06-12,3,32,3,0
2023-06-13,7,15,0,9
2023-06-14,0,31,1,5
2023-06-15,8,28,2,4
2023-06-16,5,44,3,3
2023-06-17,2,19,7,4
2023-06-18,0,12,2,13
2023-06-19,5,15,1,4
2023-06-20,4,16,2,3
2023-06-21,4,44,1,4
2023-06-22,5,18,3,6
2023-06-23,5,10,2,7
2023-06-24,2,75,7,2
2023-06-25,2,16,1,5
2023-06-26,2,31,1,13
2023-06-27,2,71,4,9
2023-06-28,9,22,6,6
2023-06-29,6,13,2,5
2023-06-30,5,30,3,9
2023-07-01,0,26,4,4
2023-07-02,5,28,3,7
2023-07-03,4,12,3,10
2023-07-04,3,21,2,3
2023-07-05,2,7,6,4
2023-07-06,8,11,9,3
2023-07-07,1,13,3,12
2023-07-08,1,35,7,1
2023-07-09,1,16,2,2
2023-07-10,3,16,1,4
2023-07-11,6,32,2,5
2023-07-12,6,27,0,12
2023-07-13,0,23,4,2
2023-07-14,3,41,5,11
2023-07-15,2,6,0,0
2023-07-16,1,10,1,10
2023-07-17,0,37,3,2
2023-07-18,1,40,5,7
2023-07-19,4,42,5,9
2023-07-20,6,11,6,8
2023-07-21,1,12,1,4
2023-07-22,1,9,0,1
2023-07-23,0,15,0,0
2023-07-24,4,36,5,6
2023-07-25,3,10,1,7
2023-07-26,4,24,2,0
2023-07-27,4,41,4,5
2023-07-28,4,32,0,6
2023-07-29,0,17,3,2
2023-07-30,0,34,3,4
2023-07-31,5,23,1,3
2023-08-01,3,15,5,9
2023-08-02,1,15,3,5
2023-08-03,4,43,8,4
2023-08-04,5,65,4,4
2023-08-05,1,27,1,2
2023-08-06,0,10,1,0
2023-08-07,2,24,6,6
2023-08-08,5,14,3,8
2023-08-09,1,9,5,7
2023-08-10,6,30,5,5
2023-08-11,7,36,2,8
2023-08-12,0,4,0,14
2023-08-13,0,5,0,4
2023-08-14,5,15,6,1
2023-08-15,6,24,4,5
2023-08-16,6,28,3,12
2023-08-17,4,12,4,7
2023-08-18,0,14,2,0
2023-08-19,1,16,1,2
2023-08-20,0,16,0,2
2023-08-21,1,32,4,9
2023-08-22,10,10,2,2
2023-08-23,3,29,2,1
2023-08-24,8,51,6,0
2023-08-25,5,23,1,1
2023-08-26,0,14,1,3
2023-08-27,2,20,0,1
2023-08-28,4,13,4,0
2023-08-29,9,19,2,5
2023-08-30,13,16,1,5
2023-08-31,10,15,2,6
2023-09-01,3,16,2,5
2023-09-02,0,17,2,4
2023-09-03,1,16,3,2
2023-09-04,5,34,6,4
2023-09-05,5,23,4,9
2023-09-06,4,34,5,6
2023-09-07,3,9,5,5
2023-09-08,7,25,3,6
2023-09-09,2,21,1,1
2023-09-10,1,12,1,3
2023-09-11,1,26,10,7
2023-09-12,1,30,5,3
2023-09-13,4,25,5,5
2023-09-14,0,20,4,2
2023-09-15,1,32,8,7
2023-09-16,0,15,4,1
2023-09-17,2,25,0,4
2023-09-18,2,22,3,7
2023-09-19,0,20,2,4
2023-09-20,6,92,11,11
2023-09-21,4,21,3,8
2023-09-22,1,41,7,7
2023-09-23,1,18,6,2
2023-09-24,1,22,4,2
2023-09-25,0,15,7,5
2023-09-26,0,9,4,6
2023-09-27,0,12,0,10
2023-09-28,8,21,3,8
2023-09-29,4,13,5,8
2023-09-30,1,35,7,6
2023-10-01,2,7,1,2
2023-10-02,2,16,0,4
2023-10-03,2,10,1,1
2023-10-04,2,4,2,5
2023-10-05,3,21,6,3
2023-10-06,0,27,15,7
2023-10-07,3,21,5,1
2023-10-08,0,19,4,3
2023-10-09,1,13,6,7
2023-10-10,2,20,6,8
2023-10-11,7,10,2,2
2023-10-12,3,20,13,13
2023-10-13,4,14,8,4
2023-10-14,0,16,5,9
2023-10-15,1,27,1,1
2023-10-16,3,8,5,3
2023-10-17,2,25,4,5
2023-10-18,3,22,4,7
2023-10-19,7,11,9,3
2023-10-20,3,16,4,0
2023-10-21,0,9,4,5
2023-10-22,0,4,2,2
2023-10-23,2,10,0,8
2023-10-24,10,17,10,8
2023-10-25,6,37,5,4
2023-10-26,5,25,2,4
2023-10-27,1,38,3,0
2023-10-28,0,22,2,1
2023-10-29,0,24,1,4
2023-10-30,16,12,0,8
2023-10-31,5,16,2,3
2023-11-01,2,23,0,4
2023-11-02,3,60,3,0
2023-11-03,3,16,2,4
2023-11-04,0,21,0,1
2023-11-05,0,26,0,0
2023-11-06,3,18,0,2
2023-11-07,7,8,0,1
2023-11-08,5,28,4,4
2023-11-09,3,5,10,4
2023-11-10,1,12,2,3
2023-11-11,0,7,1,0
2023-11-12,2,8,2,0
2023-11-13,3,10,0,1
2023-11-14,1,18,0,2
2023-11-15,3,26,0,18
2023-11-16,0,21,1,7
2023-11-17,0,9,4,4
2023-11-18,1,10,0,1
2023-11-19,2,19,4,12
2023-11-20,0,13,5,6
2023-11-21,2,32,1,6
2023-11-22,0,17,5,4
2023-11-23,3,11,1,7
2023-11-24,3,23,5,1
2023-11-25,0,16,1,4
2023-11-26,0,9,0,5
2023-11-27,0,10,6,7
2023-11-28,1,38,6,7
2023-11-29,3,9,0,2
2023-11-30,1,11,3,6
2023-12-01,7,28,2,13
2023-12-02,0,19,3,9
2023-12-03,0,8,4,2
2023-12-04,2,33,6,4
2023-12-05,0,32,4,6
2023-12-06,2,30,2,4
2023-12-07,3,41,3,4
2023-12-08,2,19,1,5
2023-12-09,1,13,0,1
2023-12-10,2,16,0,4
2023-12-11,0,19,1,2
2023-12-12,2,11,1,3
2023-12-13,1,22,2,4
2023-12-14,1,48,1,2
2023-12-15,1,22,1,1
2023-12-16,1,6,0,5
2023-12-17,3,25,1,0
2023-12-18,1,33,3,2
2023-12-19,2,19,1,9
2023-12-20,4,32,0,4
2023-12-21,0,14,1,4
2023-12-22,3,11,2,3
2023-12-23,4,12,0,2
2023-12-24,0,10,2,5
2023-12-25,2,20,1,4
2023-12-26,2,25,0,0
2023-12-27,1,25,2,3
2023-12-28,0,30,1,1
2023-12-29,2,32,4,5
2023-12-30,0,14,1,0
2023-12-31,1,20,4,0
2024-01-01,0,13,1,0
2024-01-02,1,6,3,5
2024-01-03,2,8,0,2
2024-01-04,10,8,1,5
2024-01-05,2,21,2,1
2024-01-06,2,12,0,2
2024-01-07,3,8,1,1
2024-01-08,4,14,1,5
2024-01-09,1,2,0,1
2024-01-10,0,2,1,3
2024-01-11,2,1,3,1
2024-01-12,9,12,1,1
2024-01-13,0,12,2,2
2024-01-14,0,7,0,1
2024-01-15,6,3,0,0
2024-01-16,0,2,1,1
2024-01-17,0,0,0,1
1970-01-01,0,0,0,0
